nfl_player_id,nfl_last_name,nfl_player_name,nfl_full_name,nfl_first_name,nfl_position,first_season,nfl_height,nfl_weight,nfl_forty,nfl_bench,nfl_vertical,nfl_broad_jump,nfl_cone,nfl_shuttle,epa_per_play_career,target_share_career,ppr_points_career,ppr_ppg_career,epa_per_play_year_1,target_share_year_1,ppr_points_year_1,ppr_ppg_year_1,epa_per_play_year_2,target_share_year_2,ppr_points_year_2,ppr_ppg_year_2,epa_per_play_first_2,target_share_first_2,ppr_points_first_2,ppr_ppg_first_2,epa_per_play_first_3,target_share_first_3,ppr_points_first_3,ppr_ppg_first_3,epa_per_play_first_4,target_share_first_4,ppr_points_first_4,ppr_ppg_first_4,top_5_finishes,top_12_finishes,top_24_finishes,top_36_finishes
00-0023459,Rodgers,A.Rodgers,Aaron Rodgers,Aaron,QB,2005,6-2,223,4.71,NA,34.5,110,7.38,NA,-2.0319598843343556,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0024243,Lewis,M.Lewis,Marcedes Lewis,Marcedes,TE,2006,6-6,261,4.8,23,37,118,7.24,4.82,0,0.010845986984815618,12.9,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0026158,Flacco,J.Flacco,Joe Flacco,Joseph,QB,2008,6-6,236,4.84,NA,28.5,110,6.82,4.27,-1.6075871609025776,0,100.84,20.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0026293,Slater,NA,Matt Slater,Matthew,WR,2008,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0026300,Johnson,NA,Josh Johnson,Joshua,QB,2008,6-3,213,4.53,NA,33.5,110,7.56,4.42,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0026498,Stafford,M.Stafford,Matthew Stafford,John,QB,2009,6-2,225,4.81,NA,30.5,107,7.06,4.47,55.03210787712951,0,243.1,16.206666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
00-0026625,Hoyer,B.Hoyer,Brian Hoyer,Brian,QB,2009,6-2,215,5.02,NA,32,109,7.1,4.42,-8.780772753364403,0,4.94,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0027688,McCoy,NA,Colt McCoy,Daniel,QB,2010,6-1,216,4.79,NA,NA,114,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0027696,Graham,J.Graham,Jimmy Graham,Jimmy,TE,2010,6-6,260,4.53,NA,38.5,120,6.9,4.45,0,0.01263537906137184,33.9,5.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0027944,Jones,J.Jones,Julio Jones,Quintorris,WR,2011,6-3,220,4.34,17,38.5,135,6.66,4.25,0,0.03048780487804878,33.1,3.442857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0027948,Gabbert,B.Gabbert,Blaine Gabbert,Blaine,QB,2011,6-4,234,4.61,NA,33.5,120,6.84,4.26,-6.706045397208072,0,-2.86,-2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0027973,Dalton,A.Dalton,Andy Dalton,Andrew,QB,2011,6-2,215,4.83,NA,29.5,106,6.93,4.27,4.548329591227218,0,23.64,11.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0028002,Cobb,R.Cobb,Randall Cobb,Randall,WR,2011,5-10,191,4.46,16,33.5,115,7.08,4.34,0,0.029357798165137616,15.5,1.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0028063,Jones,NA,Taiwan Jones,Taiwan,RB,2011,6-0,194,4.33,13,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0028118,Taylor,T.Taylor,Tyrod Taylor,Tyrod,QB,2011,6-1,217,4.47,NA,37.5,126,6.78,4.09,-7.43453287602123,0,69.66,7.739999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0028986,Keenum,C.Keenum,Case Keenum,Casey,QB,2012,6-1,208,4.72,NA,32.5,103,NA,NA,-20.65132938160174,0,9.74,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0029000,Beasley,NA,Cole Beasley,Cole,WR,2012,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0029239,Bolden,B.Bolden,Brandon Bolden,Brandon,RB,2012,5-11,222,4.55,21,38,119,6.96,4.44,0,0,11.1,3.6999999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0029263,Wilson,R.Wilson,Russell Wilson,Russell,QB,2012,5-11,204,4.53,NA,34,118,6.97,4.09,-16.336197524169005,0,256.90000000000003,17.12666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1
00-0029293,Jones,M.Jones,Marvin Jones,Marvin,WR,2012,6-2,199,4.46,22,33,112,6.81,4.11,0,0.01841620626151013,6.5,0.37500000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0029604,Cousins,K.Cousins,Kirk Cousins,Kirk,QB,2012,6-3,214,4.84,NA,28.5,109,7.05,4.5,37.10304547110406,0,149.74,18.7175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0029701,Tannehill,R.Tannehill,Ryan Tannehill,Ryan,QB,2012,6-4,221,4.65,NA,NA,NA,NA,NA,-23.747592291389996,0,67.62,8.4525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
