year,week,down,clock_minutes,half_clock.minutes,pos_team,def_pos_team,wp_before,def_wp_before,pass,rush,xp,name,conference,team_id,color,logo
2024,1,1,14,29,Florida State,Georgia Tech,0.5040517,0.4959483,1,0,0.4419806897640228,Mike Norvell,ACC,52,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
2024,1,1,13,28,Florida State,Georgia Tech,0.5557943,0.4442057,0,1,0.4482049345970154,Mike Norvell,ACC,52,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
2024,1,2,13,28,Florida State,Georgia Tech,0.6003267,0.3996733,1,0,0.31510111689567566,Mike Norvell,ACC,52,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
2024,1,1,12,27,Florida State,Georgia Tech,0.609672,0.390328,0,1,0.44701430201530457,Mike Norvell,ACC,52,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
2024,1,2,12,27,Florida State,Georgia Tech,0.5911359,0.4088641,0,1,0.5411943197250366,Mike Norvell,ACC,52,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
2024,1,1,11,26,Florida State,Georgia Tech,0.6420996,0.3579004,0,1,0.44759371876716614,Mike Norvell,ACC,52,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
2024,1,1,10,25,Florida State,Georgia Tech,0.6584971,0.3415029,0,1,0.6524552702903748,Mike Norvell,ACC,52,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
2024,1,1,10,25,Georgia Tech,Florida State,0.2159097,0.7840903,0,1,0.42247074842453003,Brent Key,ACC,59,#003057,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
2024,1,1,10,25,Georgia Tech,Florida State,0.2509448,0.7490552,0,1,0.43064960837364197,Brent Key,ACC,59,#003057,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
2024,1,1,8,23,Georgia Tech,Florida State,0.2722411,0.7277589,1,0,0.4450055956840515,Brent Key,ACC,59,#003057,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
2024,1,1,8,23,Georgia Tech,Florida State,0.3521395,0.6478605,0,1,0.3168396055698395,Brent Key,ACC,59,#003057,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
2024,1,2,7,22,Georgia Tech,Florida State,0.3722345,0.6277655,0,1,0.11052631586790085,Brent Key,ACC,59,#003057,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
2024,1,1,7,22,Georgia Tech,Florida State,0.4280979,0.5719021,0,1,0.06865178048610687,Brent Key,ACC,59,#003057,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
2024,1,1,7,22,Florida State,Georgia Tech,0.5681152,0.4318848,0,1,0.41829627752304077,Mike Norvell,ACC,52,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
