athlete_id,Player,Team,Conference,Power 5,Position,Final Season,Class,Final Year out of HS,Final Year Played,Height,Weight,Stars,Games Played,Standard Points,Half PPR Points,PPR Points,Reception MS,Rec Yds MS,Rec TD MS,Rec Yds Per Team Pass Att,TD Per Team Pass Att,Weighted Dominator Rating,Dominator Rating,Adjusted Yds Per Team Play,Scrimmage Yds Per Team Play,Scrimmage TD Per Team Play,Scrimmage Yds Per Team Pass Attempt,EPA Per Play,Total EPA,Yards Per Rec,Pass Att,Pass Comp,Pass Yds,Pass TDs,Pass Int,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,KR,KR Yds,KR TDs,PR,PR Yds,PR TDs,Standard Points per Game,Half PPR Points per Game,PPR Points per Game,Reception MS (Games Played),Rec Yds MS (Games Played),Rec TD MS (Games Played),Rec Yds Per Team Pass Att (Games Played),TD Per Team Pass Att (Games Played),Weighted Dominator Rating (Games Played),Dominator Rating (Games Played),Adjusted Yds Per Team Play (Games Played),Scrimmage Yds Per Team Play (Games Played),Scrimmage TD Per Team Play (Games Played),Scrimmage Yds Per Team Pass Attempt (Games Played),Pass Att per Game,Pass Comp per Game,Pass Yds per Game,Pass TDs per Game,Pass Int per Game,Rush Att per Game,Rush Yds per Game,Rush TDs per Game,Rec per Game,Rec Yds per Game,Rec TDs per Game,KR per Game,KR Yds per Game,KR TDs per Game,PR per Game,PR Yds per Game,PR TDs per Game,NFL Height,NFL Weight,NFL Forty,NFL Bench,NFL Vertical,NFL Broad Jump,NFL Cone,NFL Shuttle,Draft Round,Draft Pick,Draft Pick Overall,Top 5 Finishes,Top 12 Finishes,Top 24 Finishes,Avg PPR PPG Seasons 1-3,Top.X.Finishes.Y.N,player_select,headshot_url,logo
5227539,Cameron Barmore,Arizona,NEC,NA,TE,2024,2027,1,1,78,230,NA,NA,166.7,201.2,235.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,62,13.72,0,0,0,0,0,0,0,0,69,947,12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Cameron Barmore | Arizona,https://a.espncdn.com/i/headshots/college-football/players/full/5227539.png,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
4432665,Brock Bowers,Georgia,SEC,Y,TE,2023,2024,3,3,76,240,4,2,153.03,182.2,211.37,0.19,0.2,0.26,1.88,0.02,0.21,0.23,1.78,0.92,0.01,2.02,0.86,68.67,14.48,0,0,0,0,0,6.33,64.33,1.67,58.33,846,8.67,0,0,0,0,0,0,85.75,100.6,115.5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,3.25,41.25,1,29.75,456,5,0,0,0,0,0,0,75,243,NA,NA,NA,NA,NA,NA,1,13,13,1,1,1,8.7,1,Brock Bowers | Georgia,https://a.espncdn.com/i/headshots/college-football/players/full/4432665.png,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
3917962,Jace Sternberger,Texas A&M,SEC,Y,TE,2018,2019,3,1,76,250,3,1,143.6,167.6,191.6,0.19,0.25,0.4,1.9,0.02,0.28,0.33,1.71,0.86,0.01,1.9,0.82,63,17.33,0,0,0,0,0,1,4,0,48,832,10,0,0,0,0,0,0,143.6,167.6,191.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,1,4,0,48,832,10,0,0,0,0,0,0,76,251,4.75,17,31.5,113,7.19,4.31,3,11,75,0,0,0,1.7,NA,Jace Sternberger | Texas A&M,https://a.espncdn.com/i/headshots/college-football/players/full/3917962.png,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
5083076,Harold Fannin,Bowling Green,Mid-American,N,TE,2024,2025,3,3,76,230,NA,1,129.13,159.13,189.13,0.23,0.27,0.3,1.98,0.01,0.28,0.29,1.99,1.03,0.01,2.11,0.79,63.67,12.96,1.33,0.33,3,0,0,11,53,1.67,60,797,5.67,0,0,0,0,0,0,129.13,159.13,189.13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.33,0.33,3,0,0,11,53,1.67,60,797,5.67,0,0,0,0,0,0,75,241,NA,NA,NA,NA,NA,NA,3,3,67,0,0,0,0,NA,Harold Fannin | Bowling Green,https://a.espncdn.com/i/headshots/college-football/players/full/5083076.png,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
4366729,Thomas Greaney,UAlbany,CAA,NA,TE,2022,2025,1,1,77,255,NA,NA,123.3,148.3,173.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,56,13.86,0,0,0,0,0,0,0,0,50,693,9,1,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Thomas Greaney | UAlbany,https://a.espncdn.com/i/headshots/college-football/players/full/4366729.png,NA
4429086,Michael Mayer,Notre Dame,FBS Independents,N,TE,2022,2023,3,3,76,265,5,1,105.97,135.97,165.97,0.25,0.23,0.24,1.83,0.02,0.23,0.24,1.59,0.79,0.01,1.83,0.71,54.33,11.54,0,0,0,0,0,0,0,0,60,699.67,6,0,0,0,0,0,0,91.5,119.75,148,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,56.5,645,4.5,0,0,0,0,0,0,77,249,NA,NA,32.5,118,NA,NA,2,4,35,0,0,0,2.6,0,Michael Mayer | Notre Dame,https://a.espncdn.com/i/headshots/college-football/players/full/4429086.png,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
3918639,Gerald Everett,South Alabama,Sun Belt,N,TE,2016,2017,2,2,76,NA,NA,NA,115.1,137.6,160.1,0.22,0.23,0.4,1.68,0.02,0.27,0.32,1.51,0.76,0.01,1.69,0.78,52.5,14.32,0.5,0.5,3.5,0.5,0,4,3.5,2,45,646,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,239,4.62,22,37.5,126,6.99,4.33,2,12,44,0,0,5,3.8,0,Gerald Everett | South Alabama,https://a.espncdn.com/i/headshots/college-football/players/full/3918639.png,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png
184184,Cody Slate,Marshall,Conference USA,N,TE,2009,2010,4,4,76,NA,NA,NA,103.67,128.55,153.43,0.23,0.24,0.36,1.79,0.02,0.27,0.3,1.68,0.86,0.01,1.85,NA,NA,13.3,0,0,0,0,0,3,22,0.25,49.75,654.75,5.75,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Cody Slate | Marshall,https://a.espncdn.com/i/headshots/college-football/players/full/184184.png,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png
513064,Austin Seferian-Jenkins,Washington,Pac-12,Y,TE,2013,2014,3,3,78,NA,4,1,103.33,127.67,152,0.18,0.2,0.29,1.46,0.02,0.22,0.24,1.34,0.67,0.01,1.46,1.3,34,12.66,0,0,0,0,0,0,0,0,48.67,613.33,7,0,0,0,0,0,0,103.33,127.67,152,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,48.67,613.33,7,0,0,0,0,0,0,78,262,4.75,20,NA,NA,NA,NA,2,6,38,0,0,1,4.4,0,Austin Seferian-Jenkins | Washington,https://a.espncdn.com/i/headshots/college-football/players/full/513064.png,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
4571762,Hayden Hatten,Idaho,Big Sky,NA,WR,2023,2024,5,4,74,210,2,NA,105.1,127.85,150.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,51.33,15.89,1.25,0.75,26.75,0.5,0,0.25,-5.75,0,45.5,631,6.75,0.25,0,0,0.25,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Hayden Hatten | Idaho,https://a.espncdn.com/i/headshots/college-football/players/full/4571762.png,NA
