athlete_id,player_id,Name,Team,Conference,Eligibility,Year.Out.Of.HS,Recruit.Stars,Height,Weight,Pos
4250360,"Bailey Zappe, Western Kentucky, QB",Bailey Zappe,Western Kentucky,Conference USA,2022,5,NA,74,215,QB
4383723,"Jerreth Sterns, Western Kentucky, WR",Jerreth Sterns,Western Kentucky,Conference USA,2024,1,NA,68,180,WR
4240069,"Malik Cunningham, Louisville, QB",Malik Cunningham,Louisville,ACC,2022,5,3,73,200,QB
4361994,"Sam Hartman, Wake Forest, QB",Sam Hartman,Wake Forest,ACC,2022,4,3,73,215,QB
4685720,"Bryce Young, Alabama, QB",Bryce Young,Alabama,SEC,2023,2,5,72,194,QB
4055171,"Anthony Gordon, Washington State, WR",Anthony Gordon,Washington State,Pac-12,2022,1,2,75,210,WR
4240703,"Kenny Pickett, Pittsburgh, QB",Kenny Pickett,Pittsburgh,ACC,2022,5,3,75,220,QB
4429205,"Jordan Addison, Pittsburgh, WR",Jordan Addison,Pittsburgh,ACC,2023,2,4,72,175,WR
4428119,"Lew Nichols, Central Michigan, RB",Lew Nichols,Central Michigan,Mid-American,2022,3,3,70,220,RB
4431453,"Deuce Vaughn, Kansas State, RB",Deuce Vaughn,Kansas State,Big 12,2023,2,3,66,172,RB
4242512,"Malik Willis, Liberty, QB",Malik Willis,Liberty,FBS Independents,2022,5,3,73,215,QB
4370775,"Brennan Armstrong, Virginia, QB",Brennan Armstrong,Virginia,ACC,2022,4,3,74,215,QB
4690013,"Rasheen Ali, Marshall, RB",Rasheen Ali,Marshall,Conference USA,2023,2,NA,72,200,RB
4362748,"Tyler Badie, Missouri, RB",Tyler Badie,Missouri,SEC,2022,4,3,68,194,RB
4427366,"Breece Hall, Iowa State, RB",Breece Hall,Iowa State,Big 12,2022,3,4,73,220,RB
4373626,"Tyler Allgeier, BYU, RB",Tyler Allgeier,BYU,FBS Independents,2022,4,2,71,220,RB
4426875,"Sam Howell, North Carolina, QB",Sam Howell,North Carolina,ACC,2022,3,4,73,220,QB
4244068,"Dustin Crum, Kent State, QB",Dustin Crum,Kent State,Mid-American,2022,5,2,75,207,QB
4432577,"C.J. Stroud, Ohio State, QB",C.J. Stroud,Ohio State,Big Ten,2023,2,4,75,205,QB
4374187,"Deven Thompkins, Utah State, WR",Deven Thompkins,Utah State,Mountain West,2022,4,2,67,160,WR
4362874,"Matt Corral, Ole Miss, QB",Matt Corral,Ole Miss,SEC,2022,4,4,73,205,QB
4426388,"Jameson Williams, Alabama, WR",Jameson Williams,Alabama,SEC,2022,3,4,74,188,WR
4245186,"Frank Harris, UT San Antonio, QB",Frank Harris,UT San Antonio,Conference USA,2022,5,3,72,200,QB
4360691,"Travis Dye, Oregon, RB",Travis Dye,Oregon,Pac-12,2022,4,3,70,200,RB
4240858,"Hendon Hooker, Tennessee, QB",Hendon Hooker,Tennessee,SEC,2022,5,4,76,218,QB
4239086,"Desmond Ridder, Cincinnati, QB",Desmond Ridder,Cincinnati,American Athletic,2022,5,3,76,215,QB
4240781,"Bryant Koback, Toledo, RB",Bryant Koback,Toledo,Mid-American,2022,5,3,72,205,RB
4690070,"Mitchell Tinsley, Western Kentucky, WR",Mitchell Tinsley,Western Kentucky,Conference USA,2022,4,3,73,195,WR
4430878,"Jaxon Smith-Njigba, Ohio State, WR",Jaxon Smith-Njigba,Ohio State,Big Ten,2023,2,5,72,196,WR
4566196,"Will Rogers, Mississippi State, QB",Will Rogers,Mississippi State,SEC,2023,2,3,74,205,QB
4360271,"Tanner Mordecai, SMU, QB",Tanner Mordecai,SMU,American Athletic,2022,4,4,74,211,QB
4432710,"TreVeyon Henderson, Ohio State, RB",TreVeyon Henderson,Ohio State,Big Ten,2024,1,5,70,210,RB
4567048,"Kenneth Walker III, Michigan State, RB",Kenneth Walker III,Michigan State,Big Ten,2022,3,3,70,210,RB
4366031,"Nathaniel Dell, Houston, WR",Nathaniel Dell,Houston,American Athletic,2022,4,3,70,155,WR
4241474,"Brian Robinson Jr., Alabama, RB",Brian Robinson Jr.,Alabama,SEC,2022,5,4,73,228,RB
