athlete_id,Player,Team,Conference,Power 5,Height,Weight,Stars,Position,Season,Class,Year out of HS,Year Played,Games Played,Standard Points,Half PPR Points,PPR Points,QBR,Yards Per Att,Adjusted Yds Per Att,Total Adj Net Yds Per Att,Completion Pct,Rush Yds MS,Rush TD MS,Rush EPA Share,EPA Per Play,Pass EPA Per Play,Rush EPA Per Play,Total EPA,Total Pass EPA,Total Rush EPA,Points Added,TD Rate,Int Rate,TD-Int Rate,Pass Att,Pass Comp,Pass Yds,Pass TDs,Pass Int,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,KR,KR Yds,KR TDs,PR,PR Yds,PR TDs,Standard Points per Game,Half PPR Points per Game,PPR Points per Game,Rush Yds MS (Games Played),Rush TD MS (Games Played),Pass Att per Game,Pass Comp per Game,Pass Yds per Game,Pass TDs per Game,Pass Int per Game,Rush Att per Game,Rush Yds per Game,Rush TDs per Game,Rec per Game,Rec Yds per Game,Rec TDs per Game,KR per Game,KR Yds per Game,KR TDs per Game,PR per Game,PR Yds per Game,PR TDs per Game,NFL Height,NFL Weight,NFL Forty,NFL Bench,NFL Vertical,NFL Broad Jump,NFL Cone,NFL Shuttle,Draft Round,Draft Pick,Draft Pick Overall,Top 5 Finishes,Top 12 Finishes,Top 24 Finishes,Avg PPR PPG Seasons 1-3,Top.X.Finishes.Y.N,player_select,headshot_url,logo
3915511,Joe Burrow,LSU,SEC,Y,76,216,4,QB,2019,2020,5,5,15,521.3,521.8,522.3,94.9,10.76,12.53,11.01,76.3,0.1475,0.1562,0.1,0.63,0.64,0.55,402,357,45,150.4,0.1139,0.0114,9.9912,527,402,5671,60,6,115,369,5,1,16,0,0,0,0,0,0,0,34.8,34.8,34.8,0.1475,0.1562,35.1,26.8,378.1,4,0.4,7.7,24.6,0.3,0.1,1.1,0,0,0,0,0,0,0,76,221,NA,NA,NA,NA,NA,NA,1,1,1,0,1,2,18.8,1,Joe Burrow | LSU,https://a.espncdn.com/i/headshots/college-football/players/full/3915511.png,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
3916387,Lamar Jackson,Louisville,ACC,Y,75,211,3,QB,2016,2018,2,2,13,516.8,516.8,516.8,84.8,8.66,9.14,8.56,56.2,0.499,0.5676,0.5,0.4,0.31,0.58,263,139,124,84.5,0.0733,0.022,3.3318,409,230,3543,30,9,260,1571,21,0,0,0,0,0,0,0,0,0,39.8,39.8,39.8,0.499,0.5676,31.5,17.7,272.5,2.3,0.7,20,120.8,1.6,0,0,0,0,0,0,0,0,0,74,216,NA,NA,NA,NA,NA,NA,1,32,32,1,3,3,19.4,1,Lamar Jackson | Louisville,https://a.espncdn.com/i/headshots/college-football/players/full/3916387.png,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
511459,Marcus Mariota,Oregon,Pac-12,Y,76,NA,3,QB,2014,2015,4,4,15,513.8,514.3,514.8,91.3,10.01,11.49,10.66,68.3,0.2189,0.3571,0.3,0.59,0.53,0.86,339,250,89,118.8,0.0944,0.009,10.4889,445,304,4454,42,4,135,770,15,1,26,1,0,0,0,0,0,0,34.3,34.3,34.3,0.2189,0.3571,29.7,20.3,296.9,2.8,0.3,9,51.3,1,0.1,1.7,0.1,0,0,0,0,0,0,76,222,4.52,NA,36,121,6.87,4.11,1,2,2,0,1,3,16.3,1,Marcus Mariota | Oregon,https://a.espncdn.com/i/headshots/college-football/players/full/511459.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
517475,Johnny Manziel,Texas A&M,SEC,Y,73,NA,3,QB,2012,2014,2,2,13,501.2,501.2,501.2,91.3,8.54,8.8,8.9,68,0.448,0.4565,NA,NA,NA,NA,NA,NA,NA,119.9,0.0599,0.0207,2.8937,434,295,3706,26,9,201,1410,21,0,0,0,0,0,0,0,0,0,38.6,38.6,38.6,0.448,0.4565,33.4,22.7,285.1,2,0.7,15.5,108.5,1.6,0,0,0,0,0,0,0,0,0,72,207,4.68,NA,31.5,113,6.75,4.03,1,22,22,0,0,0,8.2,NA,Johnny Manziel | Texas A&M,https://a.espncdn.com/i/headshots/college-football/players/full/517475.png,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
232016,Cam Newton,Auburn,SEC,Y,NA,NA,5,QB,2010,2011,4,5,14,497.7,498.7,499.7,90,10.19,11.21,9.21,66.1,0.3695,0.4878,NA,NA,NA,NA,NA,NA,NA,93.5,0.1071,0.025,4.284,280,185,2854,30,7,264,1473,20,2,42,1,0,0,0,0,0,0,35.5,35.6,35.7,0.3695,0.4878,20,13.2,203.9,2.1,0.5,18.9,105.2,1.4,0.1,3,0.1,0,0,0,0,0,0,77,248,4.56,NA,35,126,6.92,4.18,1,1,1,5,8,9,21.1,1,Cam Newton | Auburn,https://a.espncdn.com/i/headshots/college-football/players/full/232016.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
232016,Cam Newton,Auburn,SEC,Y,NA,NA,5,QB,2010,2011,4,6,14,497.7,498.7,499.7,90,10.19,11.21,9.21,66.1,0.3695,0.4878,NA,NA,NA,NA,NA,NA,NA,93.5,0.1071,0.025,4.284,280,185,2854,30,7,264,1473,20,2,42,1,0,0,0,0,0,0,35.5,35.6,35.7,0.3695,0.4878,20,13.2,203.9,2.1,0.5,18.9,105.2,1.4,0.1,3,0.1,0,0,0,0,0,0,77,248,4.56,NA,35,126,6.92,4.18,1,1,1,5,8,9,21.1,1,Cam Newton | Auburn,https://a.espncdn.com/i/headshots/college-football/players/full/232016.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
3917315,Kyler Murray,Oklahoma,Big 12,Y,70,195,5,QB,2018,2019,4,4,14,496.7,496.7,496.7,95.4,11.61,13,11.88,68.9,0.2886,0.2857,0.2,0.73,0.72,0.76,372,281,91,142.5,0.1117,0.0186,6.0054,376,259,4364,42,7,140,1001,12,0,0,0,0,0,0,0,0,0,35.5,35.5,35.5,0.2886,0.2857,26.9,18.5,311.7,3,0.5,10,71.5,0.9,0,0,0,0,0,0,0,0,0,70,207,NA,NA,NA,NA,NA,NA,1,1,1,2,3,3,21.6,1,Kyler Murray | Oklahoma,https://a.espncdn.com/i/headshots/college-football/players/full/3917315.png,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
3916387,Lamar Jackson,Louisville,ACC,Y,75,211,3,QB,2017,2018,3,3,13,496.5,496.5,496.5,85.4,8.51,8.72,8.63,59.1,0.5025,0.5455,0.4,0.45,0.37,0.63,293,165,128,86.9,0.0628,0.0233,2.6953,430,254,3660,27,10,232,1601,18,0,0,0,0,0,0,0,0,0,38.2,38.2,38.2,0.5025,0.5455,33.1,19.5,281.5,2.1,0.8,17.8,123.2,1.4,0,0,0,0,0,0,0,0,0,74,216,NA,NA,NA,NA,NA,NA,1,32,32,1,3,3,19.4,1,Lamar Jackson | Louisville,https://a.espncdn.com/i/headshots/college-football/players/full/3916387.png,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
183484,Tim Tebow,Florida,SEC,Y,75,NA,5,QB,2007,2010,2,2,13,474.9,474.9,474.9,86.5,9.39,10.45,8.95,66.9,0.344,0.5897,NA,NA,NA,NA,NA,NA,NA,81.2,0.0914,0.0171,5.345,350,234,3286,32,6,210,895,23,0,0,0,0,0,0,0,0,0,36.5,36.5,36.5,0.344,0.5897,26.9,18,252.8,2.5,0.5,16.2,68.8,1.8,0,0,0,0,0,0,0,0,0,75,236,4.71,NA,38.5,115,6.66,4.17,1,25,25,0,1,1,9.7,1,Tim Tebow | Florida,https://a.espncdn.com/i/headshots/college-football/players/full/183484.png,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
3122840,Deshaun Watson,Clemson,ACC,Y,75,NA,4,QB,2015,2017,2,2,15,460.7,460.7,460.7,86.7,8.36,8.59,7.97,67.8,0.3303,0.3529,0.3,0.43,0.43,0.44,298,214,84,90.3,0.0713,0.0265,2.6906,491,333,4104,35,13,207,1105,12,0,0,0,0,0,0,0,0,0,30.7,30.7,30.7,0.3303,0.3529,32.7,22.2,273.6,2.3,0.9,13.8,73.7,0.8,0,0,0,0,0,0,0,0,0,75,221,4.66,NA,32.5,119,6.95,4.31,1,12,12,3,3,3,21.6,1,Deshaun Watson | Clemson,https://a.espncdn.com/i/headshots/college-football/players/full/3122840.png,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
