athlete_id,Player,Team,Conference,Power 5,Position,Final Season,Class,Final Year out of HS,Final Year Played,Height,Weight,Stars,Games Played,Standard Points,Half PPR Points,PPR Points,QBR,Yards Per Att,Adjusted Yds Per Att,Total Adj Net Yds Per Att,Completion Pct,Rush Yds MS,Rush TD MS,Rush EPA Share,EPA Per Play,Pass EPA Per Play,Rush EPA Per Play,Total EPA,Total Pass EPA,Total Rush EPA,Points Added,TD Rate,Int Rate,TD-Int Rate,Pass Att,Pass Comp,Pass Yds,Pass TDs,Pass Int,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,KR,KR Yds,KR TDs,PR,PR Yds,PR TDs,Standard Points per Game,Half PPR Points per Game,PPR Points per Game,Rush Yds MS (Games Played),Rush TD MS (Games Played),Pass Att per Game,Pass Comp per Game,Pass Yds per Game,Pass TDs per Game,Pass Int per Game,Rush Att per Game,Rush Yds per Game,Rush TDs per Game,Rec per Game,Rec Yds per Game,Rec TDs per Game,KR per Game,KR Yds per Game,KR TDs per Game,PR per Game,PR Yds per Game,PR TDs per Game,NFL Height,NFL Weight,NFL Forty,NFL Bench,NFL Vertical,NFL Broad Jump,NFL Cone,NFL Shuttle,Draft Round,Draft Pick,Draft Pick Overall,Top 5 Finishes,Top 12 Finishes,Top 24 Finishes,Avg PPR PPG Seasons 1-3,Top.X.Finishes.Y.N,player_select,headshot_url,logo
4250360,Bailey Zappe,Western Kentucky,Conference USA,N,QB,2021,2022,5,1,74,215,NA,14,482.4,482.4,482.4,NA,8.7,9.78,9.21,69.2,0.0118,0.2308,0,0.45,0.46,0.21,264,258,6,NA,0.0904,0.016,5.65,686,475,5967,62,11,51,17,3,0,0,0,0,0,0,0,0,0,34.5,34.5,34.5,0.0118,0.2308,49,33.9,426.2,4.4,0.8,3.6,1.2,0.2,0,0,0,0,0,0,0,0,0,73,215,NA,NA,NA,NA,NA,NA,4,32,137,0,0,0,0,NA,Bailey Zappe | Western Kentucky,https://a.espncdn.com/i/headshots/college-football/players/full/4250360.png,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png
3916387,Lamar Jackson,Louisville,ACC,Y,QB,2017,2018,3,3,75,211,3,12.6667,426.9667,426.9667,426.9667,80.8,8.2067,8.2733,8.0867,56.6667,0.4778,0.5305,0.5333,0.38,0.2767,0.59,224,114.6667,109.6667,64.8,0.0616,0.0259,2.509,362,206.3333,3014.3333,23,9,218.3333,1377.3333,16.6667,0,0,0,0,0,0,0,0,0,33.4333,33.4333,33.4333,0.4934,0.5377,28.4,16.1333,235.7667,1.8,0.7333,17.1333,108,1.3,0,0,0,0,0,0,0,0,0,74,216,NA,NA,NA,NA,NA,NA,1,32,32,1,3,3,19.4,1,Lamar Jackson | Louisville,https://a.espncdn.com/i/headshots/college-football/players/full/3916387.png,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
556465,Jerod Evans,Virginia Tech,ACC,Y,QB,2016,2017,3,1,75,NA,4,14,384.7,384.7,384.7,74,8.42,8.94,7.76,63.5,0.3301,0.4444,0.3,0.35,0.34,0.38,218,154,65,51,0.0687,0.019,3.6158,422,268,3552,29,8,204,846,12,0,0,0,0,0,0,0,0,0,27.5,27.5,27.5,0.3301,0.4444,30.1,19.1,253.7,2.1,0.6,14.6,60.4,0.9,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Jerod Evans | Virginia Tech,https://a.espncdn.com/i/headshots/college-football/players/full/556465.png,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png
4039436,Malcolm Perry,Navy,American Athletic,N,WR,2019,2020,1,1,69,190,3,13,383.1,383.1,383.1,86.7,NA,NA,NA,NA,0.4303,0.4038,NA,NA,NA,NA,196,46,151,75.9,NA,NA,NA,86,48,1084,7,3,295,2017,21,0,0,0,0,0,0,0,0,0,29.5,29.5,29.5,0.4303,0.4038,6.6,3.7,83.4,0.5,0.2,22.7,155.2,1.6,0,0,0,0,0,0,0,0,0,69,186,NA,NA,NA,NA,NA,NA,7,32,246,0,0,0,0,NA,Malcolm Perry | Navy,https://a.espncdn.com/i/headshots/college-football/players/full/4039436.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
170586,Dan LeFevour,Central Michigan,Mid-American,N,QB,2009,2010,4,4,75,NA,NA,13.25,360.2,360.575,360.95,68.675,7.37,7.6275,7.0675,66.4,0.3443,0.4235,NA,NA,NA,NA,NA,NA,NA,60.15,0.0585,0.0203,3.0393,440.75,292.75,3226.25,25.5,9,167.75,737,11.75,0.75,14.5,0.25,0,0,0,0,0,0,27.075,27.1,27.15,0.3562,0.4446,33.325,22.125,244.025,1.925,0.65,12.8,55.5,0.875,0.075,1.025,0.025,0,0,0,0,0,0,75,230,NA,NA,NA,NA,NA,NA,6,12,181,0,0,0,0,NA,Dan LeFevour | Central Michigan,https://a.espncdn.com/i/headshots/college-football/players/full/170586.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
183575,Colin Kaepernick,Nevada,Western Athletic,N,QB,2010,2011,5,4,78,NA,3,12.5,357.625,357.75,357.875,76.575,7.9225,8.3875,8.4825,57.975,0.2678,0.351,NA,NA,NA,NA,NA,NA,NA,67.15,0.0656,0.0188,3.6932,312.25,182,2461.5,20,6,147.75,1010,14.75,0.25,1.5,0.25,0,0,0,0,0,0,28.225,28.25,28.25,0.2748,0.3566,24.825,14.375,196.3,1.6,0.475,11.7,79.025,1.125,0.025,0.125,0.025,0,0,0,0,0,0,77,233,4.53,NA,32.5,115,6.85,4.18,2,4,36,0,1,4,13.7,1,Colin Kaepernick | Nevada,https://a.espncdn.com/i/headshots/college-football/players/full/183575.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
3122840,Deshaun Watson,Clemson,ACC,Y,QB,2016,2017,3,3,75,NA,4,12.6667,349.3,349.3,349.3,85.3,9.0033,9.5733,8.3633,67.5667,0.2275,0.301,0.2,0.4533,0.4933,0.33,222.3333,177.6667,44.6667,81.4,0.0815,0.0235,4.0341,402,271,3387.6667,30,10.6667,145,644.6667,8.6667,0,0,0,0,0,0,0,0,0,26.4,26.4,26.4,0.2479,0.3458,29.4333,19.8667,254.3333,2.2667,0.7333,10.9,46.8667,0.6667,0,0,0,0,0,0,0,0,0,75,221,4.66,NA,32.5,119,6.95,4.31,1,12,12,3,3,3,21.6,1,Deshaun Watson | Clemson,https://a.espncdn.com/i/headshots/college-football/players/full/3122840.png,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
4244688,Nathan Rourke,Ohio,Mid-American,N,QB,2019,2020,5,3,73,210,2,13,346.6667,347.1667,347.6667,75.4667,8.3267,8.6533,8.6233,58.7,0.2812,0.4045,0.5,0.4167,0.28,0.77,177.6667,86.6667,91,62.2,0.0676,0.0228,3.1037,298.3333,175.3333,2484.6667,20,6.6667,141.6667,879.6667,16.3333,1,6.6667,0.6667,0,0,0,0,0,0,26.6667,26.7,26.7333,0.2812,0.4045,22.9667,13.5,191.1333,1.5333,0.5,10.8667,67.7,1.2667,0.1,0.5333,0.0667,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Nathan Rourke | Ohio,https://a.espncdn.com/i/headshots/college-football/players/full/4244688.png,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
3675812,Bryce Perkins,Virginia,ACC,Y,QB,2019,2020,4,2,75,215,3,13.5,336.45,336.7,336.95,67.7,7.405,7.44,6.52,64.5,0.4324,0.4333,0.3,0.24,0.235,0.26,151.5,103.5,48,37.55,0.058,0.025,2.3049,422.5,272.5,3108.5,23.5,10.5,219,846.5,10,0.5,4.5,0,0,0,0,0,0,0,24.95,25,25,0.4324,0.4333,31.1,20.1,229.4,1.75,0.8,16.2,63,0.75,0.05,0.35,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Bryce Perkins | Virginia,https://a.espncdn.com/i/headshots/college-football/players/full/3675812.png,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png
183484,Tim Tebow,Florida,SEC,Y,QB,2009,2010,4,4,75,NA,5,13.75,332,332,332,82.7333,9.2733,10.3033,8.54,66.3667,0.2636,0.4188,NA,NA,NA,NA,NA,NA,NA,59.8,0.0863,0.0155,5.6891,248.75,165.25,2321.25,22,4,173,736.75,14.25,0,0,0,0,0,0,0,0,0,24.375,24.375,24.375,0.2636,0.4188,18.25,12.125,170.325,1.625,0.325,12.675,53.85,1.075,0,0,0,0,0,0,0,0,0,75,236,4.71,NA,38.5,115,6.66,4.17,1,25,25,0,1,1,9.7,1,Tim Tebow | Florida,https://a.espncdn.com/i/headshots/college-football/players/full/183484.png,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
